experiment,model,seed,training_dataset,preprocessing,internal_auc,external_auc,delta_auc,sensitivity,specificity,f1,calibration_metric,notes
baseline,resnet50,avg_seeds,TN5000+AUITD+DDTI(1),current_anisotropic,0.922,0.662,0.260,0.884,0.803,0.903,,internal=TN5000 test; external=Divesh
baseline,efficientnet_b3,avg_seeds,TN5000+AUITD+DDTI(1),current_anisotropic,0.899,0.584,0.315,0.877,0.777,0.895,,EfficientNet worst external
baseline,swin_tiny,avg_seeds,TN5000+AUITD+DDTI(1),current_anisotropic,0.948,0.664,0.284,0.921,0.844,0.931,,Swin best internal
baseline,weighted_ensemble,all,TN5000+AUITD+DDTI(1),current_anisotropic,0.954,0.662,0.292,0.925,0.840,0.932,,ensemble
14_cross_arch_ar,resnet50,0.9166492913409853,0.927341473461521,0.010692182120535687,0.7534250883928766,0.7806338257304614,0.027208737337584776,0.1632242029481087,0.1467076477310596,0.01651655521704909,0.029371042401333147
14_cross_arch_ar,efficientnet_b3,0.8929917259546684,0.9108162673732066,0.017824541418538287,0.7633231383267174,0.7752575866033274,0.011934448276610055,0.12966858762795097,0.1355586807698792,-0.005890093141928232,0.3325293590856
14_cross_arch_ar,swin_tiny,0.9412349533917482,0.9401517501614634,-0.0010832032302848793,0.7982928786794212,0.8072319472462635,0.008939068566842234,0.142942074712327,0.1329198029151999,0.010022271797127114,0.4460847353520232
