seed,best_epoch,train_time_sec,param_count,internal_auc,external_auc_1.00x,external_auc_avg,generalization_gap,ext_auc_0.85x,ext_auc_1.15x,corr_0.85x_vs_1.00x,corr_0.85x_vs_1.15x,corr_1.00x_vs_1.15x
0,15,1551.1427822113037,27792891,0.9472129130030158,0.8225309646211579,0.8281594759332769,0.11905343706973892,0.8204312270883496,0.8192420988698728,0.9299,0.9046,0.9376
1,12,1359.5583662986755,27792891,0.9396152340074959,0.8041894969740353,0.810237955792716,0.12937727821477996,0.8028467929112166,0.8035994880805188,0.9323,0.9003,0.9366
2,16,1594.7965533733368,27792891,0.9519322209734589,0.8103373028784625,0.8158517168824971,0.13608050409096173,0.8091828810654865,0.805429817140626,0.9288,0.8962,0.931
3,13,1435.2929859161377,27792891,0.934712849434751,0.7977731502570443,0.8069330383288865,0.12777981110586445,0.7990156395739789,0.799886770352053,0.9269,0.8919,0.9311
4,13,1429.7776417732239,27792891,0.9457737274904774,0.8014789267044098,0.8087763822910565,0.13699734519942086,0.7999900219084185,0.804129628424546,0.9238,0.8869,0.9259
