Config,AR,TTA_Scales,TTA_Views,Seed0_BestEpoch,Seed0_BestValAUC,Seed0_TestAUC_Internal,Seed1_BestEpoch,Seed1_BestValAUC,Seed1_TestAUC_Internal,Seed2_BestEpoch,Seed2_BestValAUC,Seed2_TestAUC_Internal,Seed3_BestEpoch,Seed3_BestValAUC,Seed3_TestAUC_Internal,Seed4_BestEpoch,Seed4_BestValAUC,Seed4_TestAUC_Internal,Ensemble_Internal_AUC,Ensemble_Internal_Accuracy,Ensemble_Internal_F1,Ensemble_Internal_Sensitivity,Ensemble_Internal_Specificity,Ensemble_Internal_PRAUC,Ensemble_Internal_TP,Ensemble_Internal_TN,Ensemble_Internal_FP,Ensemble_Internal_FN,Ensemble_Internal_N,Ensemble_Internal_PatientCount,Ensemble_Internal_PerScaleAUC,Ensemble_Diveshzz_AUC,Ensemble_Diveshzz_Accuracy,Ensemble_Diveshzz_F1,Ensemble_Diveshzz_Sensitivity,Ensemble_Diveshzz_Specificity,Ensemble_Diveshzz_PRAUC,Ensemble_Diveshzz_TP,Ensemble_Diveshzz_TN,Ensemble_Diveshzz_FP,Ensemble_Diveshzz_FN,Ensemble_Diveshzz_N,Ensemble_Diveshzz_PatientCount,Ensemble_Diveshzz_PerScaleAUC,Ensemble_ThyroidPretrain_AUC,Ensemble_ThyroidPretrain_Accuracy,Ensemble_ThyroidPretrain_F1,Ensemble_ThyroidPretrain_Sensitivity,Ensemble_ThyroidPretrain_Specificity,Ensemble_ThyroidPretrain_PRAUC,Ensemble_ThyroidPretrain_TP,Ensemble_ThyroidPretrain_TN,Ensemble_ThyroidPretrain_FP,Ensemble_ThyroidPretrain_FN,Ensemble_ThyroidPretrain_N,Ensemble_ThyroidPretrain_PatientCount,Ensemble_ThyroidPretrain_PerScaleAUC,TotalTrainingTime,TotalInferenceTime,Timestamp,Ensemble_Internal_PatientLevel,Ensemble_Diveshzz_PatientLevel,Ensemble_ThyroidPretrain_PatientLevel
A1S4V2,A1,"[0.6, 0.75, 1.0, 1.15, 1.4]",5,12,0.9437439999999999,0.9493793194635854,15,0.9521493333333333,0.9519881610463844,11,0.9462613333333334,0.938084510193807,15,0.9446613333333331,0.9436073210299075,17,0.9441706666666666,0.9385218598548608,0.9515660677688556,0.894,0.9257703081232493,0.9042407660738714,0.8661710037174721,0.9785979208869462,661,233,36,70,1000,,"[0.9085532371503111, 0.9321243496966523, 0.9480570995580734, 0.9484334236850268, 0.9393863882546188]",0.8255426129585042,0.7624398073836276,0.7044728434504792,0.7289256198347107,0.7837270341207349,0.7728715712845317,882,1493,412,328,3115,,"[0.7989037114162383, 0.8166122209930369, 0.8227522179562266, 0.8172217522396478, 0.8039543610767662]",0.8135374634574647,0.7423161361141603,0.7818815331010452,0.8402396405391912,0.6227909811090798,0.8212549701300009,1683,1022,619,320,3644,3644,"[0.7530536918570955, 0.7858349587136663, 0.8136926237700124, 0.8128237260197455, 0.8038524175954227]",6552.538752794266,1399.0622053146362,2026-09-13T14:55:25.834780+00:00,,,
A4S4V2,A4,"[0.6, 0.75, 1.0, 1.15, 1.4]",5,17,0.9427946666666667,0.9489114570354813,20,0.9391999999999999,0.953361235563647,17,0.9502506666666667,0.9495929088329376,16,0.9491200000000001,0.9479401339510473,16,0.9549013333333334,0.9469789817889636,0.9573533225860587,0.886,0.9184549356223176,0.8782489740082079,0.9070631970260223,0.9816550205870695,642,244,25,89,1000,,"[0.9064783689908918, 0.936548700918943, 0.9533866628695223, 0.9546376863185839, 0.9454177452082242]",0.8243374330274832,0.7685393258426966,0.701696317749276,0.7008264462809918,0.8115485564304462,0.7705160676280428,848,1546,359,362,3115,,"[0.7969028871391075, 0.8176751046615041, 0.8185045877529771, 0.8139671590637947, 0.794499034728097]",0.8216839883380292,0.752469813391877,0.7832772705430082,0.8137793310034948,0.6776355880560634,0.8262608967253847,1630,1112,529,373,3644,3644,"[0.7552790253985262, 0.7954984038263142, 0.8214479012742314, 0.8197438759593699, 0.8058317764060794]",7625.878291130066,1618.750708580017,2026-09-14T15:44:24.518383+00:00,False,False,True
A4S2V2,A4,"[0.6, 0.8, 1.0, 1.2, 1.4]",5,12,0.9456426666666666,0.9403526258778777,14,0.947264,0.9467297941913861,15,0.9444693333333333,0.9520390156581349,16,0.9512,0.9485097056026527,17,0.9510293333333333,0.9491148754824832,0.9554208473395409,0.883,0.9163688348820586,0.8768809849521204,0.8996282527881041,0.9798624257153778,641,242,27,90,1000,,"[0.9130487848290522, 0.9408001464612818, 0.953025595126094, 0.9497047889787885, 0.9400017290567995]",0.8296245200754864,0.7784911717495987,0.7115384615384616,0.7033057851239669,0.826246719160105,0.7790724882690931,851,1574,331,359,3115,,"[0.8105210299125832, 0.8259343615105963, 0.8226298778768356, 0.8172271751155074, 0.7994269104791654]",0.8238035999017927,0.754390779363337,0.791521080829257,0.8482276585122317,0.6398537477148081,0.8305338827638086,1699,1050,591,304,3644,3644,"[0.7665030485959056, 0.8073143179806768, 0.8231440164555117, 0.8176163542620256, 0.8084177816152067]",7114.204949617386,1528.2007915973663,2026-09-16T17:05:24.965948+00:00,False,False,True
A1S2V2,A1,"[0.6, 0.8, 1.0, 1.2, 1.4]",5,17,0.9503786666666666,0.9564684523416005,20,0.9517013333333333,0.9542664476528053,13,0.9509546666666667,0.9435818937240323,15,0.9488106666666667,0.9494759432259113,17,0.9419093333333333,0.9452041558388723,0.9578466123200382,0.878,0.9121037463976945,0.86593707250342,0.9107806691449815,0.9809965554694361,633,245,24,98,1000,,"[0.9102772084886517, 0.9434547571946562, 0.9566515289439023, 0.954027430977578, 0.9415833074822391]",0.8288488319125399,0.7756019261637239,0.7081419624217119,0.7008264462809918,0.8230971128608924,0.7777839559272175,848,1568,337,362,3115,,"[0.8044129194594477, 0.8208984620724062, 0.8224446324374742, 0.8182555692935076, 0.79941823387779]",0.8184329234362959,0.7467069154774972,0.7772145788076273,0.8037943085371942,0.6770262035344302,0.8258676754440749,1610,1111,530,393,3644,3644,"[0.7500711151432511, 0.7964786519185267, 0.8159823032057641, 0.8157805947994523, 0.8049309338855822]",3489.897377729416,1528.7442014217377,2026-09-17T15:12:38.919738+00:00,False,False,True
