experiment,model,internal_auc,internal_accuracy,internal_sensitivity,internal_specificity,internal_f1,external_auc,external_accuracy,external_sensitivity,external_specificity,external_f1,generalization_gap,domain_classifier_auc,domain_classifier_accuracy,seed
15_dann_augmentation,M0_AR_Baseline,0.9314988379721216,0.882,0.9015047879616963,0.828996282527881,0.9178272980501393,0.8144135702045509,0.7534510433386837,0.6975206611570248,0.7889763779527559,0.6872964169381107,0.11708526776757078,0.9999999999999999,1.0,0
15_dann_augmentation,M1_AR_Appearance,0.9392338244193675,0.887,0.9138166894664843,0.8141263940520446,0.9220151828847482,0.8064909654888179,0.7357945425361155,0.7644628099173554,0.7175853018372703,0.6921062476618032,0.1327428589305496,1.0,1.0,0
15_dann_augmentation,M2_AR_DANN,0.8093969151592513,0.713,0.6716826265389877,0.8252788104089219,0.7738376674546887,0.7194971909503047,0.6799357945425362,0.5793388429752067,0.7438320209973753,0.5844101709045436,0.08989972420894654,0.9999999999999999,1.0,0
15_dann_augmentation,M3_AR_Both,0.7356780699657748,0.68,0.6826265389876881,0.6728624535315985,0.7572078907435509,0.6597765775145876,0.6211878009630819,0.5859504132231405,0.6435695538057743,0.5458044649730562,0.07590149245118716,1.0,1.0,0
