model,multiscale_train,tta,seed,best_val_auc,internal_auc,internal_accuracy,internal_sensitivity,internal_specificity,internal_f1,external_auc,external_accuracy,external_sensitivity,external_specificity,external_f1,generalization_gap,ext_avg_auc_tta,ext_auc_1.00x,ext_auc_0.85x,ext_auc_1.15x,corr_0.85x_vs_1.00x,corr_0.85x_vs_1.15x,corr_1.00x_vs_1.15x
M0_AR_Baseline,False,False,0,0.9485653333333334,0.9480215013298481,0.885,0.8796169630642955,0.8996282527881041,0.9179157744468237,0.7990325589466607,0.750561797752809,0.6190082644628099,0.8341207349081364,0.6584615384615384,0.14898894238318738,0.7990325589466607,0.7990325589466607,,,,,
M1_MultiScale_Train,True,False,0,0.9490666666666666,0.9445735586531665,0.88,0.8796169630642955,0.8810408921933085,0.914651493598862,0.8056532396260384,0.7556982343499198,0.6760330578512397,0.8062992125984252,0.6825198164372132,0.1389203190271281,0.8056532396260384,0.8056532396260384,,,,,
M2_MultiScale_TTA,False,True,0,0.9452693333333333,0.9411612142047102,0.861,0.8577291381668947,0.8698884758364313,0.9002153625269204,0.8137992668271838,0.7646869983948635,0.6611570247933884,0.8304461942257217,0.6858122588941278,0.12736194737752637,0.8137992668271838,0.8077842129237978,0.8115954100778725,0.8006672306457561,0.9323,0.8953,0.9297
M3_MultiScale_Both,True,True,0,0.9389973333333334,0.9455296253540751,0.869,0.8563611491108071,0.9033457249070632,0.9052783803326103,0.7984225938699812,0.7576243980738363,0.6537190082644628,0.8236220472440945,0.676936243046641,0.147107031484094,0.7984225938699812,0.7908483546994642,0.7923255460835991,0.7848250580247718,0.9178,0.8856,0.9195
