model,use_fusion,seed,best_val_auc,internal_auc,internal_accuracy,internal_sensitivity,internal_specificity,internal_f1,external_auc,external_accuracy,external_sensitivity,external_specificity,external_f1,generalization_gap,param_total,param_trainable_at_init,param_fusion_head
M0_AR_Baseline,False,0,0.9442133333333333,0.9474773569841181,0.882,0.8850889192886456,0.8736059479553904,0.9164305949008499,0.8062449838398299,0.7592295345104334,0.7066115702479339,0.7926509186351706,0.6951219512195121,0.14123237314428816,27716475,197121,197121
M1_Multilevel_Fusion,True,0,0.947872,0.9451888994553471,0.887,0.8919288645690835,0.8736059479553904,0.9202540578687368,0.8161024706622417,0.7547351524879615,0.7181818181818181,0.7779527559055118,0.6946442845723422,0.1290864287931054,27792891,273537,273537
